date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:07:15	17947/17947	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202026%2015:07:14%20GMT	https://mangopi.org/mangopi_mqquad	mangopi.org/mangopi_mqquad.html	(from )
11:07:16	3491/3491	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Mon,%2001%20Jun%202026%2015:07:15%20GMT	https://mangopi.org/robots.txt		(from )
11:07:16	513/513	---M--	200	added ('OK')	application/opensearchdescription+xml	date:Mon,%2001%20Jun%202026%2015:07:16%20GMT	https://mangopi.org/lib/exe/opensearch.php	mangopi.org/lib/exe/opensearch.php	(from https://mangopi.org/mangopi_mqquad)
11:07:18	30149/30149	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202026%2015:07:17%20GMT	https://mangopi.org/mangopi_mqquad?do=index	mangopi.org/mangopi_mqquaddecf.html	(from https://mangopi.org/mangopi_mqquad)
11:07:18	9920/9920	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202026%2015:07:18%20GMT	https://mangopi.org/	mangopi.org/index.html	(from https://mangopi.org/mangopi_mqquad)
11:07:18	315/315	---M--	200	added ('OK')	application/manifest+json	date:Mon,%2001%20Jun%202026%2015:07:18%20GMT	https://mangopi.org/lib/exe/manifest.php	mangopi.org/lib/exe/manifest.php	(from https://mangopi.org/mangopi_mqquad)
11:07:19	3913/3913	---M-Z	200	added ('OK')	text/xml	etag:%2270cc2ae390fde0d4c8d101b5bc069390%22	https://mangopi.org/feed.php	mangopi.org/feed.php	(from https://mangopi.org/mangopi_mqquad)
11:07:21	119347/119347	---MCZ	200	added ('OK')	text/xml	etag:%22537534e6ffef75a624922807b8dcaeb5%22	https://mangopi.org/feed.php?mode=list&ns=	mangopi.org/feed8be0.php	(from https://mangopi.org/mangopi_mqquad)
11:07:21	11879/11879	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202026%2015:07:21%20GMT	https://mangopi.org/_export/xhtml/mangopi_mqquad	mangopi.org/_export/xhtml/mangopi_mqquad.html	(from https://mangopi.org/mangopi_mqquad)
11:07:22	2580/2580	---M-Z	200	added ('OK')	text/plain	date:Mon,%2001%20Jun%202026%2015:07:22%20GMT	https://mangopi.org/_export/raw/mangopi_mqquad	mangopi.org/_export/raw/mangopi_mqquad.txt	(from https://mangopi.org/mangopi_mqquad)
11:07:24	118078/118078	---MCZ	200	added ('OK')	text/css	etag:%220ad764e9c8eb5d8d103c88633f7450fc%22	https://mangopi.org/lib/exe/css.php?t=dokuwiki&tseed=1f99e54c625b0186066b125883f7cf8c	mangopi.org/lib/exe/css5941.css	(from https://mangopi.org/mangopi_mqquad)
11:07:25	343146/343146	---MCZ	200	added ('OK')	application/javascript	etag:%2242288a94fc21459747daeeedc98f5873%22	https://mangopi.org/lib/exe/jquery.php?tseed=8faf3dc90234d51a499f4f428a0eae43	mangopi.org/lib/exe/jquery7c78.php	(from https://mangopi.org/mangopi_mqquad)
11:07:25	109027/109027	---M-Z	200	added ('OK')	application/javascript	etag:%220ad764e9c8eb5d8d103c88633f7450fc%22	https://mangopi.org/lib/exe/js.php?t=dokuwiki&tseed=1f99e54c625b0186066b125883f7cf8c	mangopi.org/lib/exe/js5941.php	(from https://mangopi.org/mangopi_mqquad)
11:07:26	7406/7406	---M--	200	added ('OK')	image/x-icon	date:Wed,%2010%20Sep%202025%2004:44:18%20GMT	https://mangopi.org/lib/tpl/dokuwiki/images/favicon.ico	mangopi.org/lib/tpl/dokuwiki/images/favicon.ico	(from https://mangopi.org/mangopi_mqquad)
